,,,,,,,中国产业信息网,,,,,,,,,,,,,,,,,
,,AC,DC,AC/DC,Total,,chyxx.com,,,,,,,,,,,,,,,,,
,2010,,,,1100,,,,,,,,,,,,,,,,,,,
,2011,,,,6800,,,,,,,,,,,,,,,,,,,
,2012,,,,17700,,,BEV/total,,BEV/DC,,,,,,,,,,,,,,
,2013,,,,22500,14604,,0.6490666666666667,,,,,,,,,,,,,,,,
,2014,,,,30900,21732,,0.7033009708737864,,,,,,,,,,,,,,,,
,2015,,,,49000,52243,,1.0661836734693877,,,,,,,,,,,,,,,,
,2016,52778,38096,50380,141254,167572,,1.186316847664491,,4.398677026459471,,,,,,,,,,,,,,
,2017,86469,61375,66059,213903,456097,,2.132260884606574,,7.431315682281059,,,,,,,,,,,,,,
,2018,190000,110000,,300000,717414,,2.39138,,6.521945454545454,,,,,,,,,,,,,,
,2019,289000,206000,,496000,730509,,1.4728004032258064,,3.546160194174757,,,,,,,,,,,,,,
,2020,,301840,,686000,1152000,,1.6793002915451896,,3.8165915716936123,,,,,,,,,,,,,,
,2021,,444360,,966000,1512000,,1.565217391304348,,3.402646502835539,,,,,,,,,,,,,,
,2022,,660480,,1376000,1980000,,1.438953488372093,,2.9978197674418605,,,,,,,,,,,,,,
,2023,,716500,,1433000,2520000,,1.7585484996510816,,3.5170969993021632,,,,,,,,,,,,,,
,2024,,1161160,,2233000,3240000,,1.4509628302731752,,2.7903131351407215,,,,,,,,,,,,,,
,2025,,1853820.0000000002,,3433000,4320000,,1.2583745994756772,,2.330323332362365,,,,,,,,,,,,,,
,,,,2013,22500,14604,14604,0.6490666666666667,,,,,,,,,,,,,,,,
,,,,2014,30900,21732,36336,1.1759223300970874,,,,,,,,,,,,,,,,
,,,,2015,49000,52243,88579,1.807734693877551,,,,,,,,,,,,,,,,
,,,,2016,141254,167572,256151,1.813407053959534,,,,,,,,,,,,,,,,
,,,,2017,213903,456097,712248,3.329770970954124,,,,,,,,,,,,,,,,
,,,,2018,300000,717414,1429662,4.76554,,,,,,,,,,,,,,,,
,,,,2019,496000,730509,2160171,4.355183467741935,,,,Historical Data,,,,,,,Projected Data,,,,,
,,,,2020,686000,1152000,3312171,4.828237609329446,,,,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
,,,,2021,966000,1512000,4809567,4.978847826086956,,,Public Charging Piles,22500,30900,49000,141254,213903,300000,496000,686000,966000,1376000,1433000,2233000,3433000
,,,,2022,1376000,1980000,6767835,4.918484738372093,,,,,,,,,,,,,,,,
,,,,2023,1433000,2520000,9068020,6.3279972086531755,,,,,,,,,,,,,,,,
,,,,2024,2233000,3240000,12564171,5.626587998208688,,,,,,,,,,,,,,,,
,,,,2025,3433000,4320000,16884171,4.918197203612001,,,,,,,,,,,,,,,,
