parameter,EV sales,,,,,,,,,,,,,,
category,Historical,,,,,,,,,,,,,,
powertrain,BEV,,,,,,,,,,,,,,
mode,Cars,,,,,,,,,,,,,,
Aggregate group,(Multiple Items),,,,,,,,,,,,,,
Sum of value,year,,,,,,,,,,,,,,
region_country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Australia,,49,170,190,370,760,670,1200,1800,6300,5200,17000,33000,87000,91000
Austria,,,,650,1700,1700,3800,5400,6800,9300,16000,33000,34000,48000,45000
Belgium,48,280,570,500,1300,1400,2100,2700,3600,8800,15000,23000,38000,93000,130000
Brazil,10,8,22,39,61,61,130,140,180,540,800,2900,8500,19000,62000
Bulgaria,,,,,,21,5,68,190,180,140,430,1000,1800,1700
Canada,,220,620,1600,2800,4400,5200,8700,23000,32000,37000,59000,91000,130000,190000
Central and South America,10,15,53,66,93,110,210,390,810,2000,2400,7200,18000,36000,98000
Chile,,6,5,5,5,13,22,120,130,220,160,560,1300,1600,4500
China,1100,4800,9600,15000,49000,150000,260000,470000,820000,830000,920000,2700000,4400000,5400000,6400000
Colombia,,1,26,22,27,39,28,92,250,760,670,840,1900,3600,11000
Costa Rica,,,,,,,22,14,230,350,590,1000,2600,5800,11000
Croatia,,,,,,,,,,190,530,1400,1400,1600,1800
Cyprus,,,,,,,,,,23,42,84,400,790,1200
Czech Republic,,,,,,300,200,390,700,760,3300,2700,3900,6700,11000
Denmark,,420,490,500,1600,4300,1300,710,1500,5500,14000,25000,31000,63000,89000
Estonia,,,,,,34,35,26,85,80,340,480,730,1400,1300
Finland,,30,51,50,180,240,220,500,780,1900,4200,10000,15000,30000,22000
France,190,2600,5700,8900,11000,18000,23000,26000,33000,45000,110000,170000,210000,310000,300000
Germany,140,1400,2200,5200,9100,12000,11000,25000,36000,63000,190000,360000,470000,520000,380000
Greece,,,,3,39,35,41,50,88,190,680,2200,2800,7000,8700
Hungary,,,,,,120,170,750,1300,1800,3000,4300,4700,5800,8600
Iceland,,,17,80,200,390,380,840,780,1100,2500,4200,6900,10000,2700
India,450,1400,190,410,1000,450,730,920,920,680,3100,12000,48000,82000,92000
Indonesia,,2,,2,,,,,,29,340,730,11000,17000,49000
Ireland,,,,,,470,390,620,1200,3400,4000,8600,16000,23000,17000
Israel,,3,600,460,6,3,5,130,130,850,1500,11000,27000,49000,69000
Italy,40,110,460,860,1000,1500,1400,2000,5000,11000,33000,67000,49000,66000,66000
Japan,2400,13000,13000,15000,16000,10000,15000,18000,27000,21000,15000,22000,59000,88000,60000
Korea,61,270,510,600,1300,3100,4700,14000,55000,33000,31000,72000,120000,120000,120000
Latvia,,,,,,17,22,22,73,86,310,410,1100,1700,1300
Lithuania,,,,,,37,64,52,140,160,450,1200,1400,2100,1800
Luxembourg,,,,,,,,,,990,2500,4600,6400,11000,13000
Malaysia,,,10,2,15,37,110,140,62,42,87,290,1300,9200,26000
Mexico,,3,88,12,48,92,250,230,200,290,1800,3000,4400,14000,20000
Netherlands,120,860,790,2600,2700,3400,4000,8000,24000,61000,72000,63000,73000,110000,130000
New Zealand,10,13,22,30,110,300,1200,2900,4400,5300,3900,6800,19000,21000,6300
Norway,360,2000,3900,7900,20000,26000,24000,33000,46000,60000,77000,110000,140000,100000,110000
Poland,15,43,44,31,140,70,110,440,620,1500,3700,7200,14000,17000,17000
Portugal,13,170,54,150,190,670,800,1900,4300,6800,7800,13000,18000,36000,42000
Rest of the world,450,570,1200,490,1300,1600,1800,4700,8000,14000,29000,50000,82000,130000,190000
Romania,,,,,,24,74,190,600,1500,2800,6300,12000,15000,9800
Russia,,41,49,,,110,350,110,140,350,780,1300,760,1900,4600
Seychelles,,,,,,3,12,30,32,37,26,61,37,100,
Slovakia,,,,,,52,59,210,290,160,920,1100,1400,2300,2200
Slovenia,,,,,,,140,290,470,190,1600,1700,2300,4300,3100
South Africa,,,,34,14,120,100,68,66,160,92,220,500,810,1200
Spain,76,390,430,810,1400,1300,2000,3900,6000,10000,18000,24000,33000,57000,62000
Sweden,4,180,270,430,1200,3000,2900,4400,7100,16000,28000,57000,96000,110000,94000
Switzerland,,400,340,1200,2700,3300,3300,4800,5100,13000,20000,32000,40000,53000,46000
Thailand,1,9,7,13,6,14,2,27,110,700,1300,1900,9900,77000,71000
Turkiye,,,92,,46,120,44,77,190,230,890,3000,7000,66000,99000
United Kingdom,240,1200,1600,2600,6700,10000,10000,14000,16000,38000,110000,190000,270000,310000,380000
USA,1200,9800,15000,48000,63000,71000,87000,100000,240000,240000,230000,470000,800000,1100000,1200000
Uzbekistan,,,,,,,,,,,,,,760,5600
Viet Nam,,,,,,,,,3,,,85,7300,32000,69000
World,7000,40000,58000,110000,200000,330000,470000,760000,1400000,1500000,2000000,4700000,7300000,9500000,11000000
