,BEV Sales,BEV Cumulative,PHEV Sales,PHEV (Cumulative),NEV Sale,NEV Cumulative,PVS,PVS Cumulative,NEV/Total,BEV/Total,BEV (Cum)/PVS(Cum),NEV(Cum)/PVS(Cum)
2013-01-01 00:00:00,,,,,,,1725500,1725500,,,,
2013-02-01 00:00:00,,,,,,,1111900,2837400,,,,
2013-03-01 00:00:00,,,,,,,1585500,4422900,,,,
2013-04-01 00:00:00,,,,,,,1441400,5864300,,,,
2013-05-01 00:00:00,,,,,,,1396900,7261200,,,,
2013-06-01 00:00:00,,,,,,,1403500,8664700,,,,
2013-07-01 00:00:00,,,,,,,1237600,9902300,,,,
2013-08-01 00:00:00,,,,,,,1353200,11255500,,,,
2013-09-01 00:00:00,,,,,,,1593500,12849000,,,,
2013-10-01 00:00:00,,,,,,,1605700,14454700,,,,
2013-11-01 00:00:00,,,,,,,1696300,16151000,,,,
2013-12-01 00:00:00,,,,,,,1462900,17613900,,,,
2013,,14604,,3290,17894,17894,0.8161394880965687,17613900,,,0.000829117912557696,0.0010159022135926739
,,,,,,,#DIV/0!,,,,,
2014-01-01 00:00:00,,,,,,,#DIV/0!,#DIV/0!,,,,
2014-02-01 00:00:00,,,,,,,#DIV/0!,#DIV/0!,,,,
2014-03-01 00:00:00,,,,,,,#DIV/0!,#DIV/0!,,,,
2014-04-01 00:00:00,,,,,,,#DIV/0!,#DIV/0!,,,,
2014-05-01 00:00:00,,,,,,,#DIV/0!,#DIV/0!,,,,
2014-06-01 00:00:00,,,,,,,#DIV/0!,#DIV/0!,,,,
2014-07-01 00:00:00,,,,,,,#DIV/0!,#DIV/0!,,,,
2014-08-01 00:00:00,,,,,,,#DIV/0!,#DIV/0!,,,,
2014-09-01 00:00:00,,,,,,,#DIV/0!,#DIV/0!,,,,
2014-10-01 00:00:00,,,,,,,#DIV/0!,#DIV/0!,,,,
2014-11-01 00:00:00,,,,,,,#DIV/0!,#DIV/0!,,,,
2014-12-01 00:00:00,,,,,,,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!
,,,,,,,#DIV/0!,,,,,
,,,,,,,#DIV/0!,,,,,
2014,,21732,,16129,37861,37861,0.5739943477457013,19604338,,,0.0011085301630690105,0.0019312562352271218
,,,,,,,#DIV/0!,,,,,
2015-01-01 00:00:00,,,,,,,#DIV/0!,#DIV/0!,,,,
2015-02-01 00:00:00,,,,,,,#DIV/0!,#DIV/0!,,,,
