,,A00,A0,A,B,C,,,,,,,,,,,,,,,
,2016,0.511,0.241,0.177,0.015,0.056,,,,,,,,,,,,,,,
,2017,0.578,0.079,0.27,0.044,0.029,,,,,,,,,,,,,,,
,2018,0.38,0.137,0.365,0.077,0.041,,,,,,,,,,,,,,,
,2019,0.175,0.114,0.533,0.152,0.026,,,,,,,,,,,,,,,
,2020,0.1,0.05,0.57,0.23,0.05,,,,,,,,,,,,,,,
,2021,0.05,0.02,0.6,0.25,0.08,,,,,,,,,,,,,,,
,2022,0.02,0.01,0.55,0.3,0.12,,,,,,,,,,,,,,,
,2023,0.015,0.005,0.5,0.35,0.13,,,,,,,,,,,,,,,
,2024,0.01,0,0.45,0.4,0.14,,,,,,,,,,,,,,,
,2025,0.005,0,0.4,0.45,0.145,,,,,,,,,,,,,,,
,2026,0.002,0,0.35,0.5,0.148,,,,,,,,,,,,,,,
,2027,0.0015,0,0.32,0.5,0.1785,,,,,,,,,,,,,,,
,2028,0.001,0,0.3,0.52,0.179,,,,,,,,,,,,,,,
,2029,0.0005,0,0.25,0.5495,0.2,,,,,,,,,,,,,,,
,2030,0.0001,0,0.2,0.5799,0.22,,,,,,,,,,,,,,,
,A00,,,,,,,,,,,,,,,,,,,,
,short,35,0.546875,,,,,,,,,,,,,,,,,,
,Middle,20,0.3125,,,,,,,,,,,,,,,,,,
,Long,9,0.140625,,,,,,,,,,,,,,,,,,
,Post 2030,0,0,,,,,,,,,,,,,,,,,,
,A,,,,,,,,,,,,,,,,,,,,
,Short,42,0.5185185185185185,,,,,,,,,,,,,,,,,,
,Middle,23,0.2839506172839506,,,,,,,,,,,,,,,,,,
,Long,14,0.1728395061728395,,,,,,,,,,,,,,,,,,
,Post 2030,2,0.024691358024691357,,,,,,,,,,,,,,,,,,
,B,,,,,,,,,,,,,,,,,,,,
,Short,60,0.4166666666666667,,,,,,,,,,,,,,,,,,
,Middle,39,0.2708333333333333,,,,,,,,,,,,,,,,,,
,Long,39,0.2708333333333333,,,,,,,,,,,,,,,,,,
,,6,0.041666666666666664,,,,,,,,,,,,,,,,,,
,C,,,,,,,,,,,,,,,,,,,,
,Short,32,0.6530612244897959,,,,,,,,,,,,,,,,,,
,Middle,3,0.061224489795918366,,,,,,,,,,,,,,,,,,
,Long,4,0.08163265306122448,,,,,,,,,,,,,,,,,,
,,10,0.20408163265306123,,,,,,,,,,,,,,,,,,
,A00,A,B,C,,,,,A00,A,B,C,,,,,A00,A0,A,B,C
Short,0.546875,0.5185185185185185,0.4166666666666667,0.6530612244897959,,,,2019,,,,,,,,2016,0.511,0.241,0.177,0.015,0.056
Middle,0.3125,0.2839506172839506,0.2708333333333333,0.061224489795918366,,,,2020,,,,,,,,2017,0.578,0.079,0.27,0.044,0.029
Long,0.140625,0.1728395061728395,0.2708333333333333,0.08163265306122448,,,,2021,,,,,,,,2018,0.38,0.137,0.365,0.077,0.041
Post 2030,0,0.024691358024691357,0.041666666666666664,0.20408163265306123,,,,2022,0.01640625,0.2851851851851852,0.125,0.0783673469387755,0.5049587821239607,,,2019,0.175,0.114,0.533,0.152,0.026
,,,,,,,,2023,,,,,,,,2020,0.1,0.05,0.57,0.23,0.05
,,,,,,,,2024,,,,,,,,2021,0.05,0.02,0.6,0.25,0.08
,A00,A,B,C,,,,2025,0.004296875,0.3209876543209877,0.309375,0.10357142857142855,0.7382309578924162,,,2022,0.02,0.01,0.55,0.3,0.12
2022,0.546875,0.5185185185185185,0.4166666666666667,0.6530612244897959,,,,2026,,,,,,,,2023,0.015,0.005,0.5,0.35,0.13
2025,0.859375,0.8024691358024691,0.6875,0.7142857142857142,,,,2027,,,,,,,,2024,0.01,0,0.45,0.4,0.14
2030,1,0.9753086419753086,0.9583333333333333,0.7959183673469387,,,,2028,,,,,,,,2025,0.005,0,0.4,0.45,0.145
Post 2030,1,1,1,1,,,,2029,,,,,,,,2026,0.002,0,0.35,0.5,0.148
,,,,,,,,2030,0.0001,0.19506172839506175,0.5557374999999999,0.1751020408163265,0.9260012692113881,,,2027,0.0015,0,0.32,0.5,0.1785
,,,,,,,,,,,,,,,,2028,0.001,0,0.3,0.52,0.179
,,,,,,,,,,,,,,,,2029,0.0005,0,0.25,0.5495,0.2
,,,,,,,,,,,,,,,,2030,0.0001,0,0.2,0.5799,0.22
,,,,,,,,,,,,,A00,A,B,C,Total,,,,
,,,,,,,,,,,,2022,0.01640625,0.2851851851851852,0.125,0.0783673469387755,0.5049587821239607,,,,
,,,,,,,,,,,,2025,0.004296875,0.3209876543209877,0.309375,0.10357142857142855,0.7382309578924162,,,,
,,,,,,,,,,,,2030,0.0001,0.19506172839506175,0.5557374999999999,0.1751020408163265,0.9260012692113881,,,,
