,,BYD Qin Pro EV,,,,,,,,,,,,,,,,,,
,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,,,,,,
,,Retail Price,134900,122860,112004.00000000001,102213.6,93382.24,85414.016,78222.6144,71730.35296,65867.317664,60570.5858976,55783.52730784,51455.174577055994,,,,,,
,,Purchase Tax,0,0,11200.400000000001,10221.36,9338.224,8541.401600000001,7822.261440000001,7173.035296000001,6586.7317664,6057.05858976,5578.352730784,5145.5174577056,,,,,,
,,Consumer Final Price,134900,122860,123204.40000000002,112434.96,102720.464,93955.4176,86044.87584000001,78903.388256,72454.0494304,66627.64448736,61361.880038624,56600.692034761596,,,,,,
,,Dealer Gross Profit(5%),6745,6143,5600.200000000001,5110.68,4669.112,4270.7008000000005,3911.1307200000006,3586.5176480000005,3293.3658832,3028.52929488,2789.176365392,2572.7587288528,,,,,,
,,Range (km),420,420,420,420,420,420,420,420,420,420,420,420,,,,,,
,,Battery (kwh),69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,,,,,,
,,Battery Price/wh,1.2,1.08,0.9720000000000001,0.8748000000000001,0.7873200000000001,0.7085880000000001,0.6377292000000001,0.5739562800000001,0.5165606520000001,0.46490458680000013,0.4184141281200001,0.3765727153080001,,,,,,
,,Subsidies,35000,35000,0,0,0,0,0,0,0,0,0,0,,,,,,
,,Auto Company Revenue,163155,151717,106403.80000000002,97102.92000000001,88713.12800000001,81143.3152,74311.48368,68143.83531200001,62573.9517808,57542.056602720004,52994.350942448,48882.41584820319,,,,,,
,,Revenue (after vat),141944.85,131993.79,92571.30600000001,84479.54040000001,77180.42136000001,70594.684224,64650.990801600004,59285.13672144001,54439.338049296,50061.589244366405,46105.085319929756,42527.70178793678,,,,,,
,,Power Battery System Cost,83400,75060,67554.00000000001,60798.60000000001,54718.74000000001,49246.86600000001,44322.17940000001,39889.961460000006,35900.96531400001,32310.86878260001,29079.78190434001,26171.803713906007,,,,,,
,,"Electric Motor &
Electric Controlling",15000,14800,14600,14400,14200,14000,13800,13600,13400,13200,13000,12800,,,,,,
,,Other Cost,35000,31500,28350,25515,22963.5,20667.15,18600.435,16740.3915,15066.352350000001,13559.717115000001,12203.745403500001,10983.370863150001,,,,,,
,,Profit Margin(BEV),8544.850000000006,10633.790000000008,-17932.694000000003,-16234.0596,-14701.818640000005,-13319.331776000014,-12071.623598400005,-10945.216238559999,-9927.97961470401,-9008.996653233606,-8178.441987910253,-7427.472789119231,,,,,,
,,PM/Revenue,0.05237259048144406,0.07008964058081829,-0.16853433805935503,-0.16718405172573594,-0.16572314573328992,-0.16414576780811654,-0.16244627345058554,-0.1606193163100781,-0.15865994287019414,-0.1565636889802745,-0.15432667524868948,-0.1519456978596169,,,,,,
,,BYD Pro,,,,,,,,,,,,,,,,,,
,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,,,,,,
,,Retail Price,137900,138500,139112,139736.24,140372.9648,141022.424096,141684.87257792,142360.5700294784,143049.78143006796,143752.7770586693,144469.83259984272,145201.22925183957,,,,,,
,,Purchase Tax,13790,13850,13911.2,13973.624,14037.296479999999,14102.242409600001,14168.487257792001,14236.05700294784,14304.978143006796,14375.27770586693,14446.983259984272,14520.122925183958,,,,,,
,,Consumer Final Price,151690,152350,153023.2,153709.864,154410.26127999998,155124.6665056,155853.359835712,156596.62703242624,157354.75957307476,158128.05476453624,158916.81585982698,159721.35217702354,,,,,,
,,Dealer Gross Profit (5%),6895,6925,6955.6,6986.812,7018.6482399999995,7051.121204800001,7084.243628896001,7118.02850147392,7152.489071503398,7187.638852933465,7223.491629992136,7260.061462591979,,,,,,
,,Auto Company Revenue,131005,131575,132156.4,132749.42799999999,133354.31655999998,133971.3028912,134600.62894902402,135242.54152800448,135897.29235856456,136565.13820573583,137246.34096985057,137941.1677892476,,,,,,
,,Revenue (after vat),113974.35,114470.25,114976.068,115492.00235999998,116018.25540719998,116555.033515344,117102.5471856509,117661.0111293639,118230.64435195117,118811.67023899018,119404.31664377,120008.8159766454,,,,,,
