,,A Class BEV Sample Avg,,,,,,,,,,,,
,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
,,Retail Price,160144.44444444444,150620.44444444444,142028.84444444446,134276.40444444446,127279.20844444446,120961.73204444446,115256.00328444446,110100.84740044447,105441.20710484448,101227.53083880448,97415.22219936848,93964.14442387607
,,Purchase Tax,0,0,14202.884444444448,13427.640444444447,12727.920844444447,12096.173204444447,11525.600328444447,11010.084740044447,10544.120710484449,10122.753083880449,9741.522219936849,9396.414442387608
,,Consumer Final Price,160144.44444444444,150620.44444444444,156231.7288888889,147704.0448888889,140007.12928888891,133057.9052488889,126781.60361288891,121110.93214048892,115985.32781532893,111350.28392268493,107156.74441930532,103360.55886626369
,,Dealer Gross Profit(5%),8007.222222222223,7531.022222222222,7101.442222222224,6713.8202222222235,6363.960422222223,6048.0866022222235,5762.800164222223,5505.042370022224,5272.060355242224,5061.376541940224,4870.7611099684245,4698.207221193804
,,Range (km),450,450,450,450,450,450,450,450,450,450,450,450
,,Battery (kwh),60.2,60.2,60.2,60.2,60.2,60.2,60.2,60.2,60.2,60.2,60.2,60.2
,,Battery Price/wh,1.2,1.08,0.9720000000000001,0.8748000000000001,0.7873200000000001,0.7085880000000001,0.6377292000000001,0.5739562800000001,0.5165606520000001,0.46490458680000013,0.4184141281200001,0.3765727153080001
,,Subsidies,34000,35000,0,0,0,0,0,0,0,0,0,0
,,Auto Company Revenue,186137.22222222222,178089.4222222222,134927.40222222224,127562.58422222224,120915.24802222224,114913.64544222225,109493.20312022224,104595.80503042226,100169.14674960225,96166.15429686426,92544.46108940005,89265.93720268227
,,Revenue (after vat),161939.38333333333,154937.79733333332,117386.83993333335,110979.44827333336,105196.26577933335,99974.87153473335,95259.08671459334,90998.35037646737,87147.15767215396,83664.5542382719,80513.68114777804,77661.36536633357
,,Power Battery System Cost,72240,65016,58514.40000000001,52662.960000000014,47396.66400000001,42656.99760000001,38391.29784000001,34552.16805600001,31096.95125040001,27987.256125360007,25188.530512824007,22669.677461541607
,,"Electric Motor &
Electric Controlling",10000,9800,9600,9400,9200,9000,8800,8600,8400,8200,8000,7800
,,Other Cost,21000,18900,17010,15309,13778.1,12400.29,11160.261,10044.234900000001,9039.811410000002,8135.830269000002,7322.247242100002,6590.022517890002
,,Profit Margin(BEV),58699.38333333333,61221.79733333332,32262.439933333342,33607.48827333334,34821.50177933334,35917.58393473334,36907.52787459334,37801.94742046735,38610.39501175395,39341.46784391189,40002.90339285403,40601.665386901965
,,PM/Revenue,0.31535542774595804,0.3437699812229162,0.23910962044757866,0.2634588228064346,0.28798271805168624,0.3125615221457093,0.33707597204978385,0.3614097851197039,0.38545197063792763,0.40909889900000623,0.4322560520851736,0.4548394007751701
,,A Class ICEV Sample Avg,,,,,,,,,,,,
,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
,,Retail Price,140427.77777777778,140887.77777777778,141356.9777777778,141835.5617777778,142323.71745777782,142821.63625137781,143329.5134208498,143847.54813371127,144375.94354082993,144914.90685609097,145464.64943765724,146025.38687085483
,,Purchase Tax,14042.77777777778,14088.77777777778,14135.69777777778,14183.55617777778,14232.371745777782,14282.163625137782,14332.951342084982,14384.754813371128,14437.594354082994,14491.490685609097,14546.464943765724,14602.538687085484
,,Consumer Final Price,154470.55555555556,154976.55555555556,155492.67555555556,156019.1179555556,156556.0892035556,157103.7998765156,157662.46476293477,158232.3029470824,158813.53789491294,159406.39754170005,160011.11438142296,160627.9255579403
,,Dealer Gross Profit (5%),7021.38888888889,7044.38888888889,7067.84888888889,7091.77808888889,7116.185872888891,7141.081812568891,7166.475671042491,7192.377406685564,7218.797177041497,7245.745342804548,7273.232471882862,7301.269343542742
,,Auto Company Revenue,133406.3888888889,133843.3888888889,134289.1288888889,134743.7836888889,135207.53158488893,135680.55443880893,136163.03774980732,136655.17072702572,137157.14636378843,137669.1615132864,138191.41696577438,138724.11752731208
,,Revenue (after vat),116063.55833333335,116443.74833333335,116831.54213333334,117227.09180933336,117630.55247885337,118042.08236176377,118461.84284233236,118889.99853251237,119326.71733649593,119772.17051655917,120226.53276022371,120689.9822487615
,,Motor Cost,15000,15300,15606,15918.12,16236.4824,16561.212048,16892.43628896,17230.285014739202,17574.890715033987,17926.38852933467,18284.916299921362,18650.61462591979
,,Transmission Cost,8000,8160,8323.2,8489.664,8659.45728,8832.6464256,9009.299354112,9189.48534119424,9373.275048018126,9560.740548978489,9751.95535995806,9946.994467157221
,,48V System Cost,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000
,,Other Cost,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000
,,Profit Margin(ICEV),57063.55833333335,56983.74833333335,56902.34213333334,56819.30780933336,56734.61279885337,56648.22388816376,56560.10719926037,56470.22817657892,56378.55157344382,56285.041438246015,56189.661100344296,56092.3731556845
,,PM/Revenue,0.4277423203536396,0.42574944348307586,0.42373007110958666,0.42168407516686596,0.41961133476675455,0.4175117364641353,0.41538517452281504,0.4132315511820662,0.41105077692348824,0.4088427707378312,0.40660746039141266,0.40434478269174073
,,,5673.888888888876,-4356.111111111124,739.0533333333442,-8315.073066666693,-16548.959914666688,-24045.894627626694,-30880.861150045865,-37121.37080659349,-42828.21007958401,-48056.113619015116,-52854.369962117635,-57267.36669167661
