,,Audi e-tron 55 quattro,,,,,,,,,,,,
,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
,,Retail Price,516685.71428571426,500085.71428571426,485125.71428571426,471641.71428571426,459486.1142857142,448526.0742857142,438642.0382857142,429726.4058857142,421682.3367257142,414422.6744817142,407868.9784621142,401950.65204447415
,,Purchase Tax,0,0,48512.57142857143,47164.171428571426,45948.61142857143,44852.60742857142,43864.20382857142,42972.64058857143,42168.23367257143,41442.26744817142,40786.89784621142,40195.06520444742
,,Consumer Final Price,516685.71428571426,500085.71428571426,533638.2857142857,518805.88571428566,505434.7257142856,493378.68171428563,482506.24211428565,472699.04647428566,463850.57039828564,455864.94192988565,448655.87630832556,442145.7172489216
,,Dealer Gross Profit(5%),25834.285714285714,25004.285714285714,24256.285714285714,23582.085714285713,22974.305714285714,22426.30371428571,21932.10191428571,21486.320294285713,21084.116836285713,20721.13372408571,20393.44892310571,20097.53260222371
,,Range (km),470,470,470,470,470,470,470,470,470,470,470,470
,,Battery (kwh),95,95,95,95,95,95,95,95,95,95,95,95
,,Battery Price/wh,1.2,1.08,0.9720000000000001,0.8748000000000001,0.7873200000000001,0.7085880000000001,0.6377292000000001,0.5739562800000001,0.5165606520000001,0.46490458680000013,0.4184141281200001,0.3765727153080001
,,Subsidies,35000,35000,0,0,0,0,0,0,0,0,0,0
,,Auto Company Revenue,525851.4285714285,510081.4285714285,460869.4285714285,448059.62857142853,436511.8085714285,426099.77057142847,416709.93637142854,408240.0855914285,400598.21988942847,393701.5407576285,387475.52953900845,381853.11944225046
,,Revenue (after vat),457490.7428571428,443770.8428571428,400956.4028571428,389811.87685714284,379765.2734571428,370706.80039714277,362537.6446431428,355168.8744645428,348520.4513038028,342520.3404591368,337103.71069893736,332212.2139147579
,,Power Battery System Cost,114000,102600,92340.00000000001,83106.00000000001,74795.40000000001,67315.86,60584.27400000001,54525.84660000001,49073.26194000001,44165.93574600001,39749.34217140001,35774.40795426001
,,"Electric Motor &
Electric Controlling",30000,29800,29600,29400,29200,29000,28800,28600,28400,28200,28000,27800
,,Other Cost,50000,45000,40500,36450,32805,29524.5,26572.05,23914.845,21523.360500000003,19371.024450000004,17433.922005000004,15690.529804500004
,,Profit Margin(BEV),263490.7428571428,266370.8428571428,238516.4028571428,240855.87685714284,242964.8734571428,244866.44039714278,246581.3206431428,248128.1828645428,249523.82886380277,250783.3802631368,251920.44652253733,252947.27615599788
,,PM/Revenue,0.5010745023037468,0.5222123918590028,0.517535744552377,0.5375531770739443,0.5566054999801575,0.5746692613064786,0.5917337195995154,0.6077996542281553,0.6228780270982616,0.636988566975217,0.6501583385723864,0.662420347712394
,,Audi A6 all-road quattro,,,,,,,,,,,,
,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
,,Retail Price,532285.7142857143,534885.7142857143,537537.7142857143,540242.7542857144,543001.8950857143,545816.2187017143,548686.8287900343,551614.8510801207,554601.4338160087,557647.7482066146,560754.9888850326,563924.374377019
,,Purchase Tax,53228.571428571435,53488.571428571435,53753.77142857143,54024.27542857144,54300.189508571435,54581.62187017143,54868.682879003434,55161.48510801207,55460.14338160088,55764.77482066146,56075.498888503265,56392.437437701905
,,Consumer Final Price,585514.2857142858,588374.2857142858,591291.4857142858,594267.0297142857,597302.0845942857,600397.8405718857,603555.5116690377,606776.3361881328,610061.5771976096,613412.5230272762,616830.4877735359,620316.8118147209
,,Dealer Gross Profit (5%),26614.285714285717,26744.285714285717,26876.885714285716,27012.13771428572,27150.094754285717,27290.810935085716,27434.341439501717,27580.742554006036,27730.07169080044,27882.38741033073,28037.749444251633,28196.218718850952
,,Auto Company Revenue,505671.4285714286,508141.4285714286,510660.8285714286,513230.61657142866,515851.8003314286,518525.4077666286,521252.48735053255,524034.1085261146,526871.3621252083,529765.3607962839,532717.239440781,535728.155658168
,,Revenue (after vat),439934.14285714284,442083.04285714286,444274.9208571429,446510.63641714293,448791.0662883429,451117.1047569669,453489.66399496334,455909.6744177197,458378.0850489312,460895.863892767,463463.9983134794,466083.4954226062
,,Motor Cost,80000,81600,83232,84896.64,86594.5728,88326.46425599999,90092.99354112,91894.8534119424,93732.75048018125,95607.40548978487,97519.55359958057,99469.94467157219
,,Transmission Cost,50000,51000,52020,53060.4,54121.608,55204.040160000004,56308.1209632,57434.283382464004,58582.969050113286,59754.628431115554,60949.72099973787,62168.71541973262
,,48V System Cost,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
,,Other Cost,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000
,,Profit Margin(ICEV),219934.14285714284,219483.04285714286,219022.9208571429,218553.5964171429,218074.88548834284,217586.60034096683,217088.54949064332,216580.5376233133,216062.36551863665,215533.82997186657,214994.72371416097,214444.83533130138
,,PM/Revenue,0.43493488148713166,0.4319329826623072,0.42890096244479636,0.4258389686047223,0.4227471637168511,0.4196257253393752,0.4164748461807441,0.4132947342539637,0.41008561301779495,0.4068477215042906,0.40358131443212036,0.400286662305149
