,,Chery eQ1,,,,,,,,,,,,,,,,,,,,,,,,
,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,,,,,,,,,,,,
,,Retail Price,65000,59928,55343.200000000004,51196.880000000005,47445.192,44048.6728,40971.80552,38182.624968000004,35652.3624712,33355.12622408,31267.613601671997,29368.8522415048,,,,,,,,,,,,
,,Purchase Tax,0,0,5534.320000000001,5119.688000000001,4744.519200000001,4404.86728,4097.180552000001,3818.2624968000005,3565.2362471200004,3335.512622408,3126.7613601672,2936.88522415048,,,,,,,,,,,,
,,Consumer Final Price,65000,59928,60877.520000000004,56316.56800000001,52189.711200000005,48453.54008,45068.986072,42000.887464800006,39217.598718320005,36690.638846488,34394.374961839196,32305.73746565528,,,,,,,,,,,,
,,Range/Day (km),10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,
,,Years of Usage,8,8,8,8,8,8,8,8,8,8,8,8,,,,,,,,,,,,
,,Electricity/hundred KM (Kwh),11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,,,,,,,,,,,,
,,Electricity Price (RMB/Kwh),0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,,,,,,,,,,,,
,,Discount Rate,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,,,,,,,,,,,,
,,NPV Energy Cost,2449.0414425926415,2377.710138439458,2308.4564450868515,2241.219849598885,2175.9416015523157,2112.564661701277,2051.0336521371623,1991.2948079001578,1933.2959300001535,1876.9863398059742,1822.316834763082,1769.2396454010504,,,,,,,,,,,,
,,NPV Maintenance Cost,300,291,282.27,273.8019,265.58784299999996,257.62020770999993,249.89160147869993,242.39485343433893,235.12300783130874,228.06931759636947,221.22723806847839,214.59042092642403,,,,,,,,,,,,
,,NPV Insurance Cost,25305.9903432754,21657.07245861413,21026.283940402063,20413.867903302973,19819.289226507743,19242.028375250236,18681.58094684489,18137.457229946493,17609.18177664709,17096.292987036006,16598.342705860196,16114.895830932232,,,,,,,,,,,,
,,NPV Vehicle and Vessel Tax,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,,Residual Value after Depreciation,9750,8989.199999999999,8301.48,7679.532,7116.7788,6607.30092,6145.770828,5727.3937452,5347.85437068,5003.268933611999,4690.142040250799,4405.32783622572,,,,,,,,,,,,
,,TCO ,83305.03178586805,75264.5825970536,76193.05038548891,71565.92565290186,67333.75107106006,63458.45240466152,59905.72144446076,56644.64061088099,53647.34506211856,50888.71855731434,48346.11970028016,45999.13552668927,,,,,,,,,,,,
,,Chery QQ6,,,,,,,,,,,,,,,,,,,,,,,,
