,,A00 Class BEV Sample Avg,,,,,,,,,,,,,,,,,,,,,,,
,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,,,,,,,,,,,
,,Retail Price,63475,58403,53818.200000000004,49671.880000000005,45920.192,42523.6728,39446.80552,36657.624968000004,34127.3624712,31830.126224080002,29742.613601672,27843.852241504803,,,,,,,,,,,
,,Purchase Tax,0,0,5381.820000000001,4967.188000000001,4592.019200000001,4252.36728,3944.6805520000003,3665.7624968000005,3412.7362471200004,3183.0126224080004,2974.2613601672,2784.3852241504806,,,,,,,,,,,
,,Consumer Final Price,63475,58403,59200.020000000004,54639.06800000001,50512.211200000005,46776.04008,43391.486072,40323.387464800006,37540.098718320005,35013.138846488,32716.874961839203,30628.237465655282,,,,,,,,,,,
,,Range/Day (km),300,300,300,300,300,300,300,300,300,300,300,300,,,,,,,,,,,
,,Years of Usage,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,
,,Electricity/hundred KM (Kwh),11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,,,,,,,,,,,
,,Electricity Price (RMB/Kwh),0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,,,,,,,,,,,
,,Discount Rate,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,,,,,,,,,,,
,,NPV Energy Cost,47933.267129997854,46537.15255339599,45181.70150815144,43865.7296195645,42588.087009285926,41347.65729056886,40143.3565927853,38974.13261435466,37838.96370325695,36736.85796432714,35666.852392550616,34628.01203160254,13741.66714874602,13341.424416258273,12952.839239085703,12575.572076782237,,,,,,,
,,NPV Maintenance Cost,10800,10476,10161.72,9856.8684,9561.162348,9274.32747756,8996.0976532332,8726.214723636205,8464.42828192712,8210.495433469305,7964.180570465225,7725.255153351268,,,,,,,,,,,
