,,A Class BEV Sample Avg,,,,,,,,,,,,,,,,,,,,,,,
,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,,,,,,,,,,,
,,Retail Price,160144.44444444444,150620.44444444444,142028.84444444446,134276.40444444446,127279.20844444446,120961.73204444446,115256.00328444446,110100.84740044447,105441.20710484448,101227.53083880448,97415.22219936848,93964.14442387607,,,,,,,,,,,
,,Purchase Tax,0,0,14202.884444444448,13427.640444444447,12727.920844444447,12096.173204444447,11525.600328444447,11010.084740044447,10544.120710484449,10122.753083880449,9741.522219936849,9396.414442387608,,,,,,,,,,,
,,Consumer Final Price,160144.44444444444,150620.44444444444,156231.7288888889,147704.0448888889,140007.12928888891,133057.9052488889,126781.60361288891,121110.93214048892,115985.32781532893,111350.28392268493,107156.74441930532,103360.55886626369,,,,,,,,,,,
,,Range/Day (km),60,60,60,60,60,60,60,60,60,60,60,60,,,,,,,,,,,
,,Years of Usage,8,8,8,8,8,8,8,8,8,8,8,8,,,,,,,,,,,
,,Electricity/hundred KM (Kwh),14,14,14,14,14,14,14,14,14,14,14,14,,,,,,,,,,,
,,Electricity Price (RMB/Kwh),0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,,,,,,,,,,,
,,Discount Rate,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,,,,,,,,,,,
,,NPV Energy Cost,17734.438032567406,17217.901002492625,16716.408740284103,16229.52304881952,15756.818493999534,15297.882033009255,14852.312653407043,14419.721022725285,13999.729148276976,13591.97004687085,13196.087424146457,12811.735363248987,,,,,,,,,,,
,,NPV Maintenance Cost,3300,3201,3104.97,3011.8208999999997,2921.4662729999995,2833.8222848099995,2748.8076162656994,2666.3433877777284,2586.3530861443965,2508.7624935600643,2433.4996187532624,2360.4946301906643,,,,,,,,,,,
,,NPV Insurance Cost,31090.216707452633,30184.676415002552,29305.51108252675,28451.952507307524,27623.254861463614,23802.760555426157,20093.54278257425,16492.360478834536,12996.066980058116,9601.607272508192,6306.015323430596,3106.411489374678,,,,,,,,,,,
,,NPV Vehicle and Vessel Tax,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
,,Residual Value after Depreciation,24021.666666666664,22593.066666666666,21304.326666666668,20141.46066666667,19091.881266666667,18144.25980666667,17288.400492666668,16515.12711006667,15816.18106572667,15184.129625820671,14612.28332990527,14094.62166358141,,,,,,,,,,,
,,TCO ,188247.43251779783,178630.95519527298,184054.2920450331,175255.88067834923,167216.7876506854,156848.11031546767,147187.86617246922,138174.22991975982,129751.29596408174,121868.49410980337,114480.06345573037,107544.5786854966,,,,,,,,,,,
,,A Class ICEV Sample Avg,,,,,,,,,,,,,,,,,,,,,,,
,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,,,,,,,,,,,
,,Retail Price,140427.77777777778,140887.77777777778,141356.9777777778,141835.5617777778,142323.71745777782,142821.63625137781,143329.5134208498,143847.54813371127,144375.94354082993,144914.90685609097,145464.64943765724,146025.38687085483,,,,,,,,,,,
,,Purchase Tax,14042.77777777778,14088.77777777778,14135.69777777778,14183.55617777778,14232.371745777782,14282.163625137782,14332.951342084982,14384.754813371128,14437.594354082994,14491.490685609097,14546.464943765724,14602.538687085484,,,,,,,,,,,
,,Consumer Final Price,154470.55555555556,154976.55555555556,155492.67555555556,156019.1179555556,156556.0892035556,157103.7998765156,157662.46476293477,158232.3029470824,158813.53789491294,159406.39754170005,160011.11438142296,160627.9255579403,,,,,,,,,,,
,,Range/Day (km),60,60,60,60,60,60,60,60,60,60,60,60,,,,,,,,,,,
,,Years of Usage,8,8,8,8,8,8,8,8,8,8,8,8,,,,,,,,,,,
,,Oil/hundred KM (L/100km),6,6,6,6,6,6,6,6,6,6,6,6,,,,,,,,,,,
,,Oil Price (RMB/Litre),7,7,7,7,7,7,7,7,7,7,7,7,,,,,,,,,,,
,,Discount Rate,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,,,,,,,,,,,
,,NPV Energy Cost,66504.14262212774,64567.128759347324,62686.53277606537,60860.711433073164,59088.06935249822,57367.05762378468,55696.1724502764,54073.9538352198,52498.984306038656,50969.887675765676,49485.327840549195,48044.00761218369,,,,,,,,,,,
,,NPV Maintenance Cost,31200,30264,29356.079999999998,28475.397599999997,27621.135671999997,26792.501601839995,25988.726553784792,25209.064757171247,24452.79281445611,23719.209030022423,23007.63275912175,22317.403776348096,,,,,,,,,,,
,,NPV Insurance Cost,28921.13182088617,28078.76875814191,27260.94054188535,26466.932564937233,25696.051033919644,22142.10284225689,18691.667704720232,15341.730677985615,12089.3646326122,8931.727695356458,5866.060765981951,2889.6851063950494,,,,,,,,,,,
,,NPV Vehicle and Vessel Tax,360,349.2,338.724,328.56228,318.7054116,309.144249252,299.86992177444,290.8738241212068,282.1476093975706,273.6831811156435,265.4726856821742,257.5085051117089,,,,,,,,,,,
,,Residual Value after Depreciation,49149.72222222222,49310.72222222222,49474.94222222223,49642.446622222225,49813.30111022224,49987.57268798223,50165.32969729743,50346.64184679894,50531.58023929047,50720.21739963184,50912.62730318003,51108.885404799184,,,,,,,,,,,
,,TCO ,231946.10777634723,228575.73085082255,225321.28665128403,222179.71293134373,219148.0441517512,213417.8892564149,207873.70177441876,202510.41037066016,197323.0994087294,192307.0045432128,187457.50844389581,182770.13664806794,,,,,,,,,,,
,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,,,,,,,,,,,
,,A 60km/day,-43698.675258549396,-49944.77565554957,-41266.994606250926,-46923.8322529945,-51931.2565010658,-56569.77894094723,-60685.83560194954,-64336.18045090034,-67571.80344464767,-70438.51043340942,-72977.44498816544,-75225.55796257134,,,,,,,,,,,
,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041
,,Annual range,21900,21900,21900,21900,21900,21900,21900,21900,21900,21900,21900,21900,21900,21900,21900,21900,21900,21900,21900,21900,21900,21900,21900
,,Electricity amount,3066.0000000000005,3066.0000000000005,3066.0000000000005,3066.0000000000005,3066.0000000000005,3066.0000000000005,3066.0000000000005,3066.0000000000005,3066.0000000000005,3066.0000000000005,3066.0000000000005,3066.0000000000005,3066.0000000000005,3066.0000000000005,3066.0000000000005,3066.0000000000005,3066.0000000000005,3066.0000000000005,3066.0000000000005,3066.0000000000005,3066.0000000000005,3066.0000000000005,3066.0000000000005
,,Electricity Cost,2452.8000000000006,2452.8000000000006,2452.8000000000006,2452.8000000000006,2452.8000000000006,2452.8000000000006,2452.8000000000006,2452.8000000000006,2452.8000000000006,2452.8000000000006,2452.8000000000006,2452.8000000000006,2452.8000000000006,2452.8000000000006,2452.8000000000006,2452.8000000000006,2452.8000000000006,2452.8000000000006,2452.8000000000006,2452.8000000000006,2452.8000000000006,2452.8000000000006,2452.8000000000006
,,Discounted Electricity Cost,2452.8000000000006,2381.3592233009713,2311.9992459232735,2244.6594620614305,2179.2810311276025,2115.8068263374785,2054.1813847936683,1994.3508590229785,1936.2629699252223,1879.8669610924487,1825.113554458688,1771.9549072414445,1720.344570137325,1670.2374467352672,1621.5897541119098,1574.3589845746696,1528.5038685190968,1483.9843383680552,1440.7614935612187,1398.79756656429,1358.0558898682427,1318.5008639497505,1280.097926164806
,,Electricity Cost NPV,17734.438032567406,17217.901002492625,16716.408740284103,16229.52304881952,15756.818493999534,15297.882033009255,14852.312653407043,14419.721022725285,13999.729148276976,13591.97004687085,13196.087424146457,12811.735363248987,,,,,,,,,,,
,,Maintenance Cost,10800,,,,,,,,,,,,,,,,,,,,,,
,,Insurance cost,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300
,,Discounted Insurance Cost,4300,4174.757281553398,4053.162409275144,3935.1091352185863,3820.4943060374626,3709.2177728519055,3601.182303739714,3496.293498776421,3394.4597075499237,3295.591949077596,3199.6038340559185,3106.411489374678,,,,,,,,,,,
,,Insurance cost NPV,31090.216707452633,30184.676415002552,29305.51108252675,28451.952507307524,27623.254861463614,23802.760555426157,20093.54278257425,16492.360478834536,12996.066980058116,9601.607272508192,6306.015323430596,3106.411489374678,,,,,,,,,,,
,,Annual range,21900,21900,21900,21900,21900,21900,21900,21900,21900,21900,21900,21900,21900,21900,21900,21900,21900,21900,21900,21900,21900,21900,21900
,,Oil amount,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314
,,Oil cost,9198,9198,9198,9198,9198,9198,9198,9198,9198,9198,9198,9198,9198,9198,9198,9198,9198,9198,9198,9198,9198,9198,9198
,,Discounted Oil cost,9198,8930.097087378641,8669.997172212274,8417.472982730362,8172.303866728507,7934.275598765541,7703.180192976253,7478.815721336168,7260.986137219581,7049.501104096681,6844.175829220078,6644.830902155416,6451.292138014967,6263.39042525725,6080.96157791966,5903.846192155009,5731.889506946612,5564.941268880206,5402.855600854568,5245.490874616086,5092.709587005909,4944.378239811563,4800.367223118022
,,NPV oil,66504.14262212774,64567.128759347324,62686.53277606537,60860.711433073164,59088.06935249822,57367.05762378468,55696.1724502764,54073.9538352198,52498.984306038656,50969.887675765676,49485.327840549195,48044.00761218369,,,,,,,,,,,
