,,A Class BEV Sample Avg,,,,,,,,,,,,,,,,,,,,,,,
,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,,,,,,,,,,,
,,Retail Price,160144.44444444444,150620.44444444444,142028.84444444446,134276.40444444446,127279.20844444446,120961.73204444446,115256.00328444446,110100.84740044447,105441.20710484448,101227.53083880448,97415.22219936848,93964.14442387607,,,,,,,,,,,
,,Purchase Tax,0,0,14202.884444444448,13427.640444444447,12727.920844444447,12096.173204444447,11525.600328444447,11010.084740044447,10544.120710484449,10122.753083880449,9741.522219936849,9396.414442387608,,,,,,,,,,,
,,Consumer Final Price,160144.44444444444,150620.44444444444,156231.7288888889,147704.0448888889,140007.12928888891,133057.9052488889,126781.60361288891,121110.93214048892,115985.32781532893,111350.28392268493,107156.74441930532,103360.55886626369,,,,,,,,,,,
,,Range/Day (km),300,300,300,300,300,300,300,300,300,300,300,300,,,,,,,,,,,
,,Years of Usage,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,
,,Electricity/hundred KM (Kwh),14,14,14,14,14,14,14,14,14,14,14,14,,,,,,,,,,,
,,Electricity Price (RMB/Kwh),0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,,,,,,,,,,,
,,Discount Rate,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,,,,,,,,,,,
,,NPV Energy Cost,57850.494812066376,56165.528943753765,54529.639751217255,52941.397816715784,51399.41535603475,49902.34500585897,48448.878646465026,47037.746258703904,45667.71481427564,44337.58719832586,43046.20116342317,41792.428314003075,,,,,,,,,,,
,,NPV Maintenance Cost,10800,10476,10161.72,9856.8684,9561.162348,9274.32747756,8996.0976532332,8726.214723636205,8464.42828192712,8210.495433469305,7964.180570465225,7725.255153351268,,,,,,,,,,,
,,NPV Insurance Cost,23585.492014051848,22898.535935972668,22231.588287352108,21584.066298400106,20955.404173203988,20345.052595343674,19752.478247906478,19177.16334748202,15111.705790765252,11164.659619195572,7332.575957477437,3612.1063829938116,,,,,,,,,,,
,,NPV Vehicle and Vessel Tax,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
,,Residual Value after Depreciation,24021.666666666664,22593.066666666666,21304.326666666668,20141.46066666667,19091.881266666667,18144.25980666667,17288.400492666668,16515.12711006667,15816.18106572667,15184.129625820671,14612.28332990527,14094.62166358141,,,,,,,,,,,
,,TCO ,228358.764603896,217567.44265750423,221850.35026079163,211944.91673733812,202831.22989946097,194435.3705209849,186690.65766782698,179536.92936024434,169412.9956365703,159878.896547855,150887.41878076587,142395.72705303042,,,,,,,,,,,
,,A Class ICEV Sample Avg,,,,,,,,,,,,,,,,,,,,,,,
,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,,,,,,,,,,,
,,Retail Price,140427.77777777778,140887.77777777778,141356.9777777778,141835.5617777778,142323.71745777782,142821.63625137781,143329.5134208498,143847.54813371127,144375.94354082993,144914.90685609097,145464.64943765724,146025.38687085483,,,,,,,,,,,
,,Purchase Tax,14042.77777777778,14088.77777777778,14135.69777777778,14183.55617777778,14232.371745777782,14282.163625137782,14332.951342084982,14384.754813371128,14437.594354082994,14491.490685609097,14546.464943765724,14602.538687085484,,,,,,,,,,,
,,Consumer Final Price,154470.55555555556,154976.55555555556,155492.67555555556,156019.1179555556,156556.0892035556,157103.7998765156,157662.46476293477,158232.3029470824,158813.53789491294,159406.39754170005,160011.11438142296,160627.9255579403,,,,,,,,,,,
,,Range/Day (km),300,300,300,300,300,300,300,300,300,300,300,300,,,,,,,,,,,
,,Years of Usage,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,
,,Oil/hundred KM (L/100km),6,6,6,6,6,6,6,6,6,6,6,6,,,,,,,,,,,
,,Oil Price (RMB/Litre),7,7,7,7,7,7,7,7,7,7,7,7,,,,,,,,,,,
,,Discount Rate,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,,,,,,,,,,,
,,NPV Energy Cost,216939.3555452489,210620.7335390766,204486.1490670647,198530.24181268417,192747.80758513024,187133.79377197113,181683.2949242438,176391.54847013962,171253.9305535336,166265.95199372197,161423.25436283686,156721.6061775115,,,,,,,,,,,
,,NPV Maintenance Cost,97800,94866,92020.02,89259.4194,86581.636818,83984.18771345999,81464.6620820562,79020.7222195945,76650.10055300668,74350.59753641648,72120.07961032398,69956.47722201426,,,,,,,,,,,
,,NPV Insurance Cost,22170.36249320874,21524.623779814312,20897.692990110983,20289.022320496097,19698.079922811747,19124.349439623053,18567.32955303209,18026.533546633098,17501.48888022631,16991.736776918748,16496.831822251213,16016.341575001177,,,,,,,,,,,
,,NPV Vehicle and Vessel Tax,360,349.2,338.724,328.56228,318.7054116,309.144249252,299.86992177444,290.8738241212068,282.1476093975706,273.6831811156435,265.4726856821742,257.5085051117089,,,,,,,,,,,
,,Residual Value after Depreciation,49149.72222222222,49310.72222222222,49474.94222222223,49642.446622222225,49813.30111022224,49987.57268798223,50165.32969729743,50346.64184679894,50531.58023929047,50720.21739963184,50912.62730318003,51108.885404799184,,,,,,,,,,,
,,TCO ,442230.55137179093,432677.19065222424,423421.595390509,414455.35486651363,405770.31241927535,397358.5581135876,389212.42162496934,381324.4653366507,373687.4776423891,366294.46644912544,359138.65287365497,352213.46512766805,,,,,,,,,,,
,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,,,,,,,,,,,
,,A 300km/day,-213871.78676789493,-215109.74799472,-201571.24512971737,-202510.4381291755,-202939.08251981437,-202923.1875926027,-202521.76395714236,-201787.5359764064,-204274.48200581878,-206415.56990127044,-208251.2340928891,-209817.73807463763,,,,,,,,,,,
,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,,,,,,,,,,,
,,A 20km/day,8014.46113449079,245.37618235350237,7445.034750936524,353.61493650788907,-6046.13397673337,-12035.968586990348,-17463.53324273316,-22386.754622772947,-26857.76083826943,-32324.59090078772,-37387.522330494234,-42085.73508273471,,,,,,,,,,,
,,A 30km/day,-4813.822963769257,-12205.161777122237,-4638.882588360313,-11374.47956086768,-17428.885326816497,-23083.547772909602,-28185.81163204438,-32793.312795326725,-36957.89715392026,-40726.20126847083,-44140.17493998761,-47237.55149332681,,,,,,,,,,,
,,A 40km/day,-17842.107062029332,-24849.699736598035,-16910.9799276572,-23285.10865824329,-28988.695238899614,-34302.87376396879,-39074.68442234132,-43361.46753683666,-47214.78214145859,-50680.986394027335,-53801.75989783993,-56614.57374328085,,,,,,,,,,,
,,A 60km/day,-43698.675258549396,-49944.77565554957,-41266.994606250926,-46923.8322529945,-51931.2565010658,-56569.77894094723,-60685.83560194954,-64336.18045090034,-67571.80344464767,-70438.51043340942,-72977.44498816544,-75225.55796257134,,,,,,,,,,,
,,A 80km/day,-68955.24345506949,-74457.85157450123,-65058.4692848447,-70014.95204774573,-74342.64207723207,-78321.44370250581,-81797.20357860028,-84826.1036580953,-87458.57873217412,-89739.8958375988,-91710.67560235408,-93407.36134000898,,,,,,,,,,,
,,A 300km/day,-213871.78676789493,-215109.74799472,-201571.24512971737,-202510.4381291755,-202939.08251981437,-202923.1875926027,-202521.76395714236,-201787.5359764064,-204274.48200581878,-206415.56990127044,-208251.2340928891,-209817.73807463763,,,,,,,,,,,
,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041
,,Annual range,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500
,,Electricity amount,15330.000000000002,15330.000000000002,15330.000000000002,15330.000000000002,15330.000000000002,15330.000000000002,15330.000000000002,15330.000000000002,15330.000000000002,15330.000000000002,15330.000000000002,15330.000000000002,15330.000000000002,15330.000000000002,15330.000000000002,15330.000000000002,15330.000000000002,15330.000000000002,15330.000000000002,15330.000000000002,15330.000000000002,15330.000000000002,15330.000000000002
,,Electricity Cost,12264.000000000002,12264.000000000002,12264.000000000002,12264.000000000002,12264.000000000002,12264.000000000002,12264.000000000002,12264.000000000002,12264.000000000002,12264.000000000002,12264.000000000002,12264.000000000002,12264.000000000002,12264.000000000002,12264.000000000002,12264.000000000002,12264.000000000002,12264.000000000002,12264.000000000002,12264.000000000002,12264.000000000002,12264.000000000002,12264.000000000002
,,Discounted Electricity Cost,12264.000000000002,11906.796116504856,11559.996229616365,11223.29731030715,10896.405155638011,10579.034131687391,10270.90692396834,9971.754295114892,9681.31484962611,9399.334805462242,9125.56777229344,8859.774536207222,8601.722850686625,8351.187233676335,8107.9487705595475,7871.794922873347,7642.519342595484,7419.921691840275,7203.807467806093,6993.987832821449,6790.279449341213,6592.504319748751,6400.4896308240295
,,Electricity Cost NPV,57850.494812066376,56165.528943753765,54529.639751217255,52941.397816715784,51399.41535603475,49902.34500585897,48448.878646465026,47037.746258703904,45667.71481427564,44337.58719832586,43046.20116342317,41792.428314003075,,,,,,,,,,,
,,Maintenance Cost,10800,,,,,,,,,,,,,,,,,,,,,,
,,Insurance cost,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
,,Discounted Insurance Cost,5000,4854.368932038835,4712.979545668772,4575.708296765798,4442.435239578444,4313.04392192082,4187.421283418272,4065.457556716769,3947.046171569679,3832.083661718135,3720.469574483626,3612.1063829938116,,,,,,,,,,,
,,Insurance cost NPV,23585.492014051848,22898.535935972668,22231.588287352108,21584.066298400106,20955.404173203988,20345.052595343674,19752.478247906478,19177.16334748202,15111.705790765252,11164.659619195572,7332.575957477437,3612.1063829938116,,,,,,,,,,,
,,Annual range,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500
,,Oil amount,6570,6570,6570,6570,6570,6570,6570,6570,6570,6570,6570,6570,6570,6570,6570,6570,6570,6570,6570,6570,6570,6570,6570
,,Oil cost,45990,45990,45990,45990,45990,45990,45990,45990,45990,45990,45990,45990,45990,45990,45990,45990,45990,45990,45990,45990,45990,45990,45990
