,,B Class BEV Sample Avg,,,,,,,,,,,,,,,,,,,,,,,
,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,,,,,,,,,,,
,,Retail Price,180670.83333333334,168630.83333333334,157774.83333333337,147984.43333333338,139153.07333333336,131184.84933333338,123993.44773333338,117501.18629333338,111638.15099733337,106341.41923093337,101554.36064117338,97226.00791038938,,,,,,,,,,,
,,Purchase Tax,0,0,15777.483333333337,14798.443333333338,13915.307333333338,13118.484933333339,12399.344773333338,11750.118629333338,11163.815099733338,10634.141923093339,10155.436064117339,9722.600791038938,,,,,,,,,,,
,,Consumer Final Price,180670.83333333334,168630.83333333334,173552.3166666667,162782.8766666667,153068.3806666667,144303.3342666667,136392.7925066667,129251.30492266672,122801.96609706672,116975.56115402671,111709.79670529072,106948.60870142831,,,,,,,,,,,
,,Range/Day (km),300,300,300,300,300,300,300,300,300,300,300,300,,,,,,,,,,,
,,Years of Usage,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,
,,Electricity/hundred KM (Kwh),14,14,14,14,14,14,14,14,14,14,14,14,,,,,,,,,,,
,,Electricity Price (RMB/Kwh),0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,,,,,,,,,,,
,,Discount Rate,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,,,,,,,,,,,
,,NPV Energy Cost,57850.494812066376,56165.528943753765,54529.639751217255,52941.397816715784,51399.41535603475,49902.34500585897,48448.878646465026,47037.746258703904,45667.71481427564,44337.58719832586,43046.20116342317,41792.428314003075,,,,,,,,,,,
,,NPV Maintenance Cost,10800,10476,10161.72,9856.8684,9561.162348,9274.32747756,8996.0976532332,8726.214723636205,8464.42828192712,8210.495433469305,7964.180570465225,7725.255153351268,,,,,,,,,,,
,,NPV Insurance Cost,20283.523132084592,19692.740904936494,19119.165927122813,18562.29701662409,18021.647588955424,17496.745231995563,16987.131293199574,16492.360478834536,12996.066980058116,9601.607272508192,6306.015323430596,3106.411489374678,,,,,,,,,,,
,,NPV Vehicle and Vessel Tax,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
,,Residual Value after Depreciation,27100.625,25294.625,23666.225000000006,22197.665000000005,20872.961000000003,19677.727400000007,18599.017160000007,17625.177944000006,16745.722649600004,15951.212884640005,15233.154096176006,14583.901186558407,,,,,,,,,,,
,,TCO ,242504.22627748433,229670.47818202362,233696.6173450068,221945.7749000066,211177.64495965684,201299.02458208124,192225.8829395645,183882.44843984136,173184.4535237276,163174.0381736901,153793.0396664337,144988.8024715989,,,,,,,,,,,
,,B Class ICEV Sample Avg,,,,,,,,,,,,,,,,,,,,,,,
,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,,,,,,,,,,,
,,Retail Price,144616.66666666666,145216.66666666666,145828.66666666666,146452.90666666665,147089.63146666664,147739.09076266666,148401.53924458666,149077.23669614506,149766.44809673462,150469.44372533596,151186.49926650935,151917.8959185062,,,,,,,,,,,
,,Purchase Tax,14461.666666666666,14521.666666666666,14582.866666666667,14645.290666666666,14708.963146666665,14773.909076266667,14840.153924458667,14907.723669614506,14976.644809673462,15046.944372533597,15118.649926650935,15191.78959185062,,,,,,,,,,,
,,Consumer Final Price,159078.3333333333,159738.3333333333,160411.53333333333,161098.19733333332,161798.59461333332,162512.99983893332,163241.69316904532,163984.96036575956,164743.09290640807,165516.38809786955,166305.1491931603,167109.68551035682,,,,,,,,,,,
,,Range/Day (km),300,300,300,300,300,300,300,300,300,300,300,300,,,,,,,,,,,
,,Years of Usage,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,
,,Oil/hundred KM (L/100km),7,7,7,7,7,7,7,7,7,7,7,7,,,,,,,,,,,
,,Oil Price (RMB/Litre),7,7,7,7,7,7,7,7,7,7,7,7,,,,,,,,,,,
,,Discount Rate,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,,,,,,,,,,,
,,NPV Energy Cost,253095.91480279044,245724.18912892276,238567.1739115755,231618.61544813155,224872.442182652,218322.75940063305,211963.84407828446,205790.13988182956,199796.25231245588,193976.94399267563,188327.13008997636,182841.87387376346,,,,,,,,,,,
,,NPV Maintenance Cost,97800,94866,92020.02,89259.4194,86581.636818,83984.18771345999,81464.6620820562,79020.7222195945,76650.10055300668,74350.59753641648,72120.07961032398,69956.47722201426,,,,,,,,,,,
,,NPV Insurance Cost,28921.13182088617,28078.76875814191,27260.94054188535,26466.932564937233,25696.051033919644,22142.10284225689,18691.667704720232,15341.730677985615,12089.3646326122,8931.727695356458,5866.060765981951,2889.6851063950494,,,,,,,,,,,
,,NPV Vehicle and Vessel Tax,360,349.2,338.724,328.56228,318.7054116,309.144249252,299.86992177444,290.8738241212068,282.1476093975706,273.6831811156435,265.4726856821742,257.5085051117089,,,,,,,,,,,
,,Residual Value after Depreciation,50615.83333333333,50825.83333333333,51040.033333333326,51258.51733333332,51481.37101333332,51708.681766933325,51940.538735605325,52177.03284365077,52418.256833857115,52664.305303867586,52915.27474327827,53171.26357147717,,,,,,,,,,,
,,TCO ,488279.5466236766,477581.4578870647,467219.6344534608,457184.6474130688,447467.3536345716,435253.36802834994,423421.3282985009,411960.5203015185,400860.5535706257,390111.3520184506,379703.14491616434,369626.45814105246,,,,,,,,,,,
,,B 300km/day,-245775.32034619228,-247910.9797050411,-233523.01710845402,-235238.8725130622,-236289.70867491476,-233954.3434462687,-231195.4453589364,-228078.07186167713,-227676.10004689812,-226937.31384476053,-225910.10524973064,-224637.65566945355,,,,,,,,,,,
,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041
,,Annual range,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500
,,Electricity amount,15330.000000000002,15330.000000000002,15330.000000000002,15330.000000000002,15330.000000000002,15330.000000000002,15330.000000000002,15330.000000000002,15330.000000000002,15330.000000000002,15330.000000000002,15330.000000000002,15330.000000000002,15330.000000000002,15330.000000000002,15330.000000000002,15330.000000000002,15330.000000000002,15330.000000000002,15330.000000000002,15330.000000000002,15330.000000000002,15330.000000000002
,,Electricity Cost,12264.000000000002,12264.000000000002,12264.000000000002,12264.000000000002,12264.000000000002,12264.000000000002,12264.000000000002,12264.000000000002,12264.000000000002,12264.000000000002,12264.000000000002,12264.000000000002,12264.000000000002,12264.000000000002,12264.000000000002,12264.000000000002,12264.000000000002,12264.000000000002,12264.000000000002,12264.000000000002,12264.000000000002,12264.000000000002,12264.000000000002
,,Discounted Electricity Cost,12264.000000000002,11906.796116504856,11559.996229616365,11223.29731030715,10896.405155638011,10579.034131687391,10270.90692396834,9971.754295114892,9681.31484962611,9399.334805462242,9125.56777229344,8859.774536207222,8601.722850686625,8351.187233676335,8107.9487705595475,7871.794922873347,7642.519342595484,7419.921691840275,7203.807467806093,6993.987832821449,6790.279449341213,6592.504319748751,6400.4896308240295
,,Electricity Cost NPV,57850.494812066376,56165.528943753765,54529.639751217255,52941.397816715784,51399.41535603475,49902.34500585897,48448.878646465026,47037.746258703904,45667.71481427564,44337.58719832586,43046.20116342317,41792.428314003075,,,,,,,,,,,
,,Maintenance Cost,10800,,,,,,,,,,,,,,,,,,,,,,
,,Insurance cost,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300
,,Discounted Insurance Cost,4300,4174.757281553398,4053.162409275144,3935.1091352185863,3820.4943060374626,3709.2177728519055,3601.182303739714,3496.293498776421,3394.4597075499237,3295.591949077596,3199.6038340559185,3106.411489374678,,,,,,,,,,,
,,Insurance cost NPV,20283.523132084592,19692.740904936494,19119.165927122813,18562.29701662409,18021.647588955424,17496.745231995563,16987.131293199574,16492.360478834536,12996.066980058116,9601.607272508192,6306.015323430596,3106.411489374678,,,,,,,,,,,
,,Annual range,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500
,,Oil amount,7665.000000000001,7665.000000000001,7665.000000000001,7665.000000000001,7665.000000000001,7665.000000000001,7665.000000000001,7665.000000000001,7665.000000000001,7665.000000000001,7665.000000000001,7665.000000000001,7665.000000000001,7665.000000000001,7665.000000000001,7665.000000000001,7665.000000000001,7665.000000000001,7665.000000000001,7665.000000000001,7665.000000000001,7665.000000000001,7665.000000000001
,,Oil cost,53655.00000000001,53655.00000000001,53655.00000000001,53655.00000000001,53655.00000000001,53655.00000000001,53655.00000000001,53655.00000000001,53655.00000000001,53655.00000000001,53655.00000000001,53655.00000000001,53655.00000000001,53655.00000000001,53655.00000000001,53655.00000000001,53655.00000000001,53655.00000000001,53655.00000000001,53655.00000000001,53655.00000000001,53655.00000000001,53655.00000000001
,,Discounted Oil cost,53655.00000000001,52092.23300970875,50574.9835045716,49101.92573259379,47671.7725559163,46283.274326132334,44935.21779236149,43626.42504112765,42355.75246711423,41122.08977389731,39924.35900378379,38761.513595906596,37632.53747175398,36536.44414733397,35472.27587119802,34439.10278757089,33436.02212385524,32462.157401801203,31516.657671651654,30598.69676859384,29707.47259086781,28842.206398900787,28002.14213485513
,,NPV oil,253095.91480279044,245724.18912892276,238567.1739115755,231618.61544813155,224872.442182652,218322.75940063305,211963.84407828446,205790.13988182956,199796.25231245588,193976.94399267563,188327.13008997636,182841.87387376346,,,,,,,,,,,
