,,BYD Qin Pro EV-Supreme,,,,,,,,,,,,,,,,,,,,,,,
,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,,,,,,,,,,,
,,Retail Price,214091.29758138885,202051.29758138885,191195.29758138885,181404.89758138885,172573.53758138884,164605.31358138885,157413.91198138884,150921.65054138884,145058.61524538885,139761.88347898886,134974.82488922885,130646.47215844486,,,,,,,,,,,
,,Purchase Tax,0,0,19119.529758138884,18140.489758138887,17257.353758138885,16460.531358138887,15741.391198138885,15092.165054138884,14505.861524538886,13976.188347898888,13497.482488922886,13064.647215844487,,,,,,,,,,,
,,Consumer Final Price,214091.29758138885,202051.29758138885,210314.82733952772,199545.38733952775,189830.89133952773,181065.84493952774,173155.30317952772,166013.81559552773,159564.47676992774,153738.07182688775,148472.30737815175,143711.11937428935,,,,,,,,,,,
,,Range/Day (km),300,300,300,300,300,300,300,300,300,300,300,300,,,,,,,,,,,
,,Years of Usage,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,
,,Electricity/hundred KM (Kwh),14,14,14,14,14,14,14,14,14,14,14,14,,,,,,,,,,,
,,Electricity Price (RMB/Kwh),0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,,,,,,,,,,,
,,Discount Rate,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,,,,,,,,,,,
,,NPV Energy Cost,57850.494812066376,56165.528943753765,54529.639751217255,52941.397816715784,51399.41535603475,49902.34500585897,48448.878646465026,47037.746258703904,45667.71481427564,44337.58719832586,43046.20116342317,41792.428314003075,,,,,,,,,,,
,,NPV Maintenance Cost,10800,10476,10161.72,9856.8684,9561.162348,9274.32747756,8996.0976532332,8726.214723636205,8464.42828192712,8210.495433469305,7964.180570465225,7725.255153351268,,,,,,,,,,,
,,NPV Insurance Cost,20283.523132084592,19692.740904936494,19119.165927122813,18562.29701662409,18021.647588955424,17496.745231995563,16987.131293199574,16492.360478834536,12996.066980058116,9601.607272508192,6306.015323430596,3106.411489374678,,,,,,,,,,,
,,NPV Vehicle and Vessel Tax,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
,,Residual Value after Depreciation,32113.694637208326,30307.694637208326,28679.294637208328,27210.734637208327,25886.030637208325,24690.797037208325,23612.086797208325,22638.247581208325,21758.792286808326,20964.28252184833,20246.223733384326,19596.97082376673,,,,,,,,,,,
,,TCO ,270911.6208883315,258077.87279287082,265446.05838065944,253695.21593565925,242927.08599530964,233048.46561773395,223975.3239752172,215631.88947549404,204933.8945593803,194923.4792093428,185542.48070208638,176738.24350725164,,,,,,,,,,,
,,BYD Pro,,,,,,,,,,,,,,,,,,,,,,,
,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,,,,,,,,,,,
,,Retail Price,73167.62499670753,73767.62499670753,74379.62499670753,75003.86499670753,75640.58979670753,76290.04909270753,76952.49757462753,77628.19502618593,78317.4064267755,79020.40205537685,79737.45759655023,80468.8542485471,,,,,,,,,,,
,,Purchase Tax,7316.762499670753,7376.762499670753,7437.9624996707535,7500.386499670753,7564.058979670754,7629.004909270753,7695.249757462753,7762.819502618593,7831.740642677551,7902.040205537685,7973.745759655023,8046.88542485471,,,,,,,,,,,
,,Consumer Final Price,80484.38749637827,81144.38749637827,81817.58749637828,82504.25149637829,83204.64877637828,83919.05400197828,84647.74733209028,85391.01452880452,86149.14706945306,86922.44226091454,87711.20335620525,88515.73967340181,,,,,,,,,,,
,,Range/Day (km),300,300,300,300,300,300,300,300,300,300,300,300,,,,,,,,,,,
,,Years of Usage,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,
,,Oil/hundred KM (L/100km),7,7,7,7,7,7,7,7,7,7,7,7,,,,,,,,,,,
,,Oil Price (RMB/Litre),7,7,7,7,7,7,7,7,7,7,7,7,,,,,,,,,,,
,,Discount Rate,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,,,,,,,,,,,
,,NPV Energy Cost,253095.91480279044,245724.18912892276,238567.1739115755,231618.61544813155,224872.442182652,218322.75940063305,211963.84407828446,205790.13988182956,199796.25231245588,193976.94399267563,188327.13008997636,182841.87387376346,,,,,,,,,,,
,,NPV Maintenance Cost,97800,94866,92020.02,89259.4194,86581.636818,83984.18771345999,81464.6620820562,79020.7222195945,76650.10055300668,74350.59753641648,72120.07961032398,69956.47722201426,,,,,,,,,,,
,,NPV Insurance Cost,28921.13182088617,28078.76875814191,27260.94054188535,26466.932564937233,25696.051033919644,22142.10284225689,18691.667704720232,15341.730677985615,12089.3646326122,8931.727695356458,5866.060765981951,2889.6851063950494,,,,,,,,,,,
,,NPV Vehicle and Vessel Tax,360,349.2,338.724,328.56228,318.7054116,309.144249252,299.86992177444,290.8738241212068,282.1476093975706,273.6831811156435,265.4726856821742,257.5085051117089,,,,,,,,,,,
,,Residual Value after Depreciation,25608.668748847635,25818.668748847635,26032.86874884763,26251.352748847636,26474.206428847632,26701.517182447635,26933.374151119635,27169.868259165076,27411.092249371424,27657.140719381896,27908.11015879258,28164.09898699148,,,,,,,,,,,
,,TCO ,434692.76537120726,423994.6766345953,413632.8532009915,403597.86616059946,393880.5723821023,381666.58677588054,369834.5470460315,358373.7390490491,347273.77231815644,336524.5707659812,326116.363663695,316039.6768885831,,,,,,,,,,,
