,,C Class BEV Sample Avg,,,,,,,,,,,,,,,,,,,,,,,
,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,,,,,,,,,,,
,,Retail Price,516685.71428571426,500085.71428571426,485125.71428571426,471641.71428571426,459486.1142857142,448526.0742857142,438642.0382857142,429726.4058857142,421682.3367257142,414422.6744817142,407868.9784621142,401950.65204447415,,,,,,,,,,,
,,Purchase Tax,0,0,48512.57142857143,47164.171428571426,45948.61142857143,44852.60742857142,43864.20382857142,42972.64058857143,42168.23367257143,41442.26744817142,40786.89784621142,40195.06520444742,,,,,,,,,,,
,,Consumer Final Price,516685.71428571426,500085.71428571426,533638.2857142857,518805.88571428566,505434.7257142856,493378.68171428563,482506.24211428565,472699.04647428566,463850.57039828564,455864.94192988565,448655.87630832556,442145.7172489216,,,,,,,,,,,
,,Range/Day (km),60,60,60,60,60,60,60,60,60,60,60,60,,,,,,,,,,,
,,Years of Usage,8,8,8,8,8,8,8,8,8,8,8,8,,,,,,,,,,,
,,Electricity/hundred KM (Kwh),16.6,16.6,16.6,16.6,16.6,16.6,16.6,16.6,16.6,16.6,16.6,16.6,,,,,,,,,,,
,,Electricity Price (RMB/Kwh),0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,,,,,,,,,,,
,,Discount Rate,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,,,,,,,,,,,
,,NPV Energy Cost,21027.97652432992,20415.511188669825,19820.884649194002,19243.57732931457,18683.084785742296,18138.91726771097,17610.599289039776,17097.669212659977,16599.678847242696,16116.193055575433,15646.789374345082,15191.057644995224,,,,,,,,,,,
,,NPV Maintenance Cost,3300,3201,3104.97,3011.8208999999997,2921.4662729999995,2833.8222848099995,2748.8076162656994,2666.3433877777284,2586.3530861443965,2508.7624935600643,2433.4996187532624,2360.4946301906643,,,,,,,,,,,
,,NPV Insurance Cost,31090.216707452633,30184.676415002552,29305.51108252675,28451.952507307524,27623.254861463614,23802.760555426157,20093.54278257425,16492.360478834536,12996.066980058116,9601.607272508192,6306.015323430596,3106.411489374678,,,,,,,,,,,
,,NPV Vehicle and Vessel Tax,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
,,Residual Value after Depreciation,77502.85714285713,75012.85714285713,72768.85714285713,70746.25714285714,68922.91714285713,67278.91114285712,65796.30574285713,64458.96088285713,63252.350508857126,62163.40117225713,61180.346769317126,60292.59780667112,,,,,,,,,,,
,,TCO ,494601.0503746397,478874.0447465294,513100.7943031492,498766.97930805065,485739.6144916344,470875.2706793757,457162.8860593083,444496.4586707008,432780.31880287366,421928.1035792722,411861.8338555374,402511.08320681105,,,,,,,,,,,
,,C Class ICEV Sample Avg,,,,,,,,,,,,,,,,,,,,,,,
,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,,,,,,,,,,,
